,tmdb_id,imdb_id,original_language,original_title,release_date,tmdb_rating_avg,tmdb_vote_count,imdb_rating,imdb_votes,budget,revenue
532,10025,tt0397078,en,Just My Luck,28/02/2006,6.1,1665,5.4,58164,28000000,38159905
534,13285,tt0775425,en,Barbie Fairytopia: Mermaidia,14/03/2006,6.8,575,6.2,3617,0,0
536,388,tt0454848,en,Inside Man,17/03/2006,7.4,4971,7.6,376375,45000000,186003591
539,1441,tt0445946,en,The Contract,5/04/2006,5.7,424,5.6,25326,25000000,5549200
540,9957,tt0437863,en,The Benchwarmers,7/04/2006,5.9,738,5.5,51979,0,0
542,10115,tt0430634,en,Stick It,21/04/2006,6.8,487,6.3,29469,0,0
543,588,tt0384537,en,Silent Hill,21/04/2006,6.5,3623,6.5,233030,50000000,100605135
544,13722,tt0427528,en,Mercenary for Justice,25/04/2006,4.5,77,4.0,4273,15000000,0
545,956,tt0317919,en,Mission: Impossible III,25/04/2006,6.7,5681,6.9,360042,150000000,398479497
546,13414,tt0426462,en,Fifty Pills,26/04/2006,4.7,39,4.9,2775,0,0
549,385923,tt0468458,en,Brother's Shadow,29/04/2006,6.7,3,6.1,158,0,0
550,1252,tt0441774,en,Lonely Hearts,30/04/2006,6.0,301,6.4,21747,18000000,2520000
552,7518,tt0327084,en,Over the Hedge,17/05/2006,6.5,3877,6.7,177572,80000000,343397247
553,591,tt0382625,en,The Da Vinci Code,17/05/2006,6.7,8230,6.6,436402,125000000,767820459
554,1887,tt0422720,en,Marie Antoinette,24/05/2006,6.7,2319,6.5,113240,40000000,60917189
557,9615,tt0463985,en,The Fast and the Furious: Tokyo Drift,3/06/2006,6.4,5713,6.0,274781,85000000,158468292
563,2044,tt0410297,en,The Lake House,16/06/2006,7.0,2360,6.8,151426,40000000,114830111
564,9917,tt0456020,en,Waist Deep,23/06/2006,6.6,224,5.8,10178,0,21353303
565,16432,tt0353357,en,Day of Wrath,27/06/2006,3.8,22,5.5,1942,0,0
566,1452,tt0348150,en,Superman Returns,28/06/2006,5.7,3628,6.1,284905,270000000,391081192
567,9297,tt0385880,en,Monster House,30/06/2006,6.7,3398,6.6,123618,75000000,140175006
570,18437,tt0428446,en,The Darwin Awards,5/07/2006,5.6,137,5.9,10217,0,309408
571,86254,tt0385622,en,Crash Landing,11/07/2006,4.9,21,3.7,884,0,0
573,37725,tt0482527,en,It's a Boy Girl Thing,15/07/2006,6.5,921,6.2,41640,15500000,7385434
574,4657,tt0382765,en,Jindabyne,20/07/2006,5.7,53,6.3,6886,0,0
579,9907,tt0414853,en,Barnyard,4/08/2006,5.8,903,5.6,31939,51000000,116476887
583,1852,tt0469641,en,World Trade Center,9/08/2006,6.1,1445,6.0,84691,65000000,163247198
584,14113,tt0383060,en,Zoom,11/08/2006,5.4,525,4.3,21518,75600000,12506188
588,15008,tt0472268,en,The Flying Scotsman,16/08/2006,6.7,42,7.0,5436,0,0
590,9788,tt0384793,en,Accepted,18/08/2006,6.4,1335,6.4,134202,23000000,38505009
591,1491,tt0443543,en,The Illusionist,18/08/2006,7.3,4281,7.6,375253,16500000,87892388
593,9988,tt0486551,en,Beerfest,25/08/2006,5.9,452,6.2,69211,17500000,19179969
595,9072,tt0430304,en,Little Man,31/08/2006,5.9,1434,4.4,56035,64000000,101595121
599,1164,tt0449467,en,Babel,8/09/2006,7.2,3210,7.5,305154,25000000,135330182
601,24582,tt0832903,en,Manufactured Landscapes,9/09/2006,7.3,40,7.2,2985,0,240239
603,7839,tt0484877,en,Wedding Daze,9/09/2006,5.4,237,5.6,15925,0,0
604,1262,tt0420223,en,Stranger Than Fiction,9/09/2006,7.2,1943,7.6,230421,30000000,53653224
605,7511,tt0434139,en,The Last Kiss,10/09/2006,6.0,323,6.4,41835,20000000,0
607,14055,tt0477095,en,Starter for 10,13/09/2006,6.4,338,6.7,24077,0,0
608,14137,tt0453453,en,Beer League,15/09/2006,5.3,52,5.9,8161,2800000,472185
611,12094,tt0493430,en,Jackass Number Two,22/09/2006,6.5,944,7.0,76732,11000000,72778712
612,9693,tt0206634,en,Children of Men,22/09/2006,7.6,6138,7.9,503574,76000000,70595464
615,10781,tt0420294,en,The Texas Chainsaw Massacre: The Beginning,5/10/2006,6.1,1484,5.8,74082,16000000,107363905
616,9958,tt0425601,en,Trailer Park Boys: The Movie,6/10/2006,6.7,114,7.1,13079,5000000,3833507
618,19271,tt0472615,en,BoyTown,19/10/2006,5.0,3,5.4,920,0,3135972
619,43673,tt0492492,en,Sleeping Dogs Lie,20/10/2006,5.7,38,5.9,3380,0,0
621,214,tt0489270,en,Saw III,27/10/2006,6.4,3736,6.2,196249,10000000,164874275
625,12526,tt0470705,en,Bug,11/11/2006,6.1,442,6.1,35826,4000000,8095658
626,36557,tt0381061,en,Casino Royale,14/11/2006,7.5,9415,8.0,661094,150000000,599045960
627,9836,tt0366548,en,Happy Feet,16/11/2006,6.2,4480,6.4,188636,100000000,384335608
628,9969,tt0790604,en,Deck the Halls,22/11/2006,5.5,538,5.0,30351,51000000,47231070
633,9986,tt0413895,en,Charlotte's Web,7/12/2006,6.2,1214,6.3,43386,85000000,144000000
634,1579,tt0472043,en,Apocalypto,7/12/2006,7.5,4668,7.8,315581,40000000,120654337
635,1581,tt0457939,en,The Holiday,8/12/2006,7.1,4353,6.9,296378,85000000,194168700
636,1247,tt0343737,en,The Good Shepherd,11/12/2006,6.3,961,6.7,104501,85000000,100266865
637,9973,tt0470982,en,Air Buddies,12/12/2006,5.9,286,4.6,3926,9000000,0
641,1125,tt0443489,en,Dreamgirls,25/12/2006,6.8,866,6.6,74584,70000000,154937680
643,22366,tt0923688,en,Ezra,1/01/2007,5.7,9,6.4,278,0,0
646,1250,tt0259324,en,Ghost Rider,15/01/2007,5.5,5138,5.2,241606,110000000,228738393
650,9966,tt0425430,en,The Messengers,2/02/2007,5.7,692,5.3,40285,16000000,55060212
652,9757,tt0477051,en,Norbit,8/02/2007,5.6,1970,4.1,75503,10000000,159313561
653,11172,tt0758766,en,Music and Lyrics,9/02/2007,6.4,1467,6.5,104128,40000000,145896422
654,9815,tt0473360,en,Goal! II: Living the Dream,9/02/2007,6.0,564,5.8,33166,10000000,7864905
655,2267,tt0768212,en,The Last Mimzy,9/02/2007,6.3,400,6.2,21748,0,27308918
659,16555,tt0778661,en,Daddy's Little Girls,14/02/2007,7.0,88,5.8,7831,10000000,31609243
661,1265,tt0398808,en,Bridge to Terabithia,15/02/2007,7.3,4085,7.2,159949,60000000,137587063
664,2977,tt0416508,en,Becoming Jane,2/03/2007,7.3,1037,7.0,62616,16500000,37311672
665,1949,tt0443706,en,Zodiac,2/03/2007,7.5,8945,7.7,546276,65000000,84785914
668,18290,tt0848542,en,Arranged,10/03/2007,6.1,26,7.3,3007,0,0
671,7485,tt0822854,en,Shooter,22/03/2007,7.1,4087,7.1,336909,61000000,95696996
672,1268,tt0453451,en,Mr. Bean's Holiday,22/03/2007,6.3,2460,6.4,127809,25000000,232225908
674,5723,tt0907657,en,Once,23/03/2007,7.4,1122,7.8,117530,160000,20710513
675,1273,tt0453556,en,TMNT,23/03/2007,6.1,925,6.2,65450,34000000,95608995
676,86762,tt0885468,en,Abducted: Fugitive for Love,25/03/2007,6.5,12,5.7,869,0,0
677,17954,tt0479948,en,Living & Dying,30/03/2007,4.6,15,3.9,1948,0,0
678,9955,tt0445934,en,Blades of Glory,30/03/2007,6.1,1509,6.3,170859,53000000,118200000
680,1992,tt1077258,en,Planet Terror,6/04/2007,6.6,2960,7.1,213246,0,0
681,39158,tt0491005,en,Kaw,7/04/2007,4.5,62,4.3,2525,0,0
683,28101,tt0995033,en,Chicago Massacre: Richard Speck,15/04/2007,3.4,19,3.9,897,1000000,0
685,6145,tt0488120,en,Fracture,19/04/2007,7.3,3402,7.2,208075,10000000,91354215
688,14636,tt0443473,en,The Condemned,27/04/2007,6.0,660,6.0,52881,0,8642858
691,8669,tt0423977,en,Charlie Bartlett,1/05/2007,6.7,545,6.9,65608,12000000,5254986
692,559,tt0413300,en,Spider-Man 3,1/05/2007,6.4,12314,6.3,594587,258000000,890871626
694,13159,tt0791304,en,Georgia Rule,10/05/2007,6.0,379,5.9,25403,20000000,25000167
696,15019,tt0466839,en,I Could Never Be Your Woman,11/05/2007,5.9,354,6.0,18554,24000000,9576495
700,1991,tt1028528,en,Death Proof,22/05/2007,6.8,4373,7.0,294501,25000000,31126421
701,40620,tt0763852,en,I Have Never Forgotten You: The Life & Legacy of Simon Wiesenthal,28/05/2007,7.8,16,7.9,707,0,0
702,4964,tt0478311,en,Knocked Up,1/06/2007,6.2,3461,6.9,372193,30000000,219922417
703,4771,tt0452623,en,Gone Baby Gone,6/06/2007,7.3,3180,7.6,275099,19000000,34619699
704,298,tt0496806,en,Ocean's Thirteen,6/06/2007,6.7,5540,6.9,350255,85000000,311312624
705,13363,tt0756683,en,The Man from Earth,10/06/2007,7.6,1950,7.9,189353,200000,0
706,6977,tt0477348,en,No Country for Old Men,13/06/2007,7.9,10316,8.2,977092,25000000,171627166
707,3638,tt0481141,en,No Reservations,15/06/2007,6.5,1080,6.3,75881,28000000,92601050
708,13121,tt0780622,en,Teeth,17/06/2007,5.3,604,5.4,44413,2000000,2340110
709,3021,tt0450385,en,1408,22/06/2007,6.7,3687,6.8,277282,25000000,132963417
710,1988,tt0829459,en,A Mighty Heart,22/06/2007,6.4,274,6.6,27770,16000000,18928871
711,1858,tt0418279,en,Transformers,27/06/2007,6.8,9829,7.0,641903,150000000,709709780
713,2959,tt0762114,en,License to Wed,4/07/2007,5.7,776,5.2,39721,35000000,69307224
714,28791,tt1018877,en,Brutal,10/07/2007,4.1,15,3.6,979,0,0
716,3563,tt0762107,en,I Now Pronounce You Chuck & Larry,12/07/2007,6.0,1996,5.9,148916,85000000,187134117
718,2976,tt0427327,en,Hairspray,19/07/2007,6.7,2257,6.7,132290,50000000,90450008
721,13008,tt0802948,en,An American Crime,27/07/2007,7.3,551,7.2,35272,2000000,0
722,5857,tt0897361,en,I Know Who Killed Me,27/07/2007,4.5,316,3.6,29982,12000000,9620399
724,2503,tt0440963,en,The Bourne Ultimatum,3/08/2007,7.4,6759,8.0,637385,70000000,442824138
725,103902,tt0838231,en,Unfinished Sky,4/08/2007,6.6,18,6.8,1251,0,0
728,14144,tt0462244,en,Daddy Day Camp,8/08/2007,4.8,397,3.2,17110,6000000,18197398
729,5174,tt0293564,en,Rush Hour 3,8/08/2007,6.4,2669,6.2,171354,140000000,258022233
730,2270,tt0486655,en,Stardust,9/08/2007,7.2,3532,7.6,274706,70000000,137515140
731,271085,tt1024993,en,Lethal Obsession,13/08/2007,5.0,7,5.1,281,0,0
732,12435,tt0489237,en,The Nanny Diaries,24/08/2007,6.4,957,6.2,60809,20000000,47817020
734,6973,tt0478134,en,In the Valley of Elah,31/08/2007,6.8,834,7.2,73406,23000000,29541790
737,13202,tt0985047,en,Animal 2,4/09/2007,5.9,21,5.0,1018,0,0
738,5176,tt0381849,en,3:10 to Yuma,6/09/2007,7.2,3032,7.7,315135,55000000,70016220
740,4512,tt0443680,en,The Assassination of Jesse James by the Coward Robert Ford,7/09/2007,7.1,2109,7.5,183730,30000000,14711793
742,13252,tt0896798,en,Cleaner,11/09/2007,6.0,680,6.1,43825,25000000,5796630
743,5915,tt0758758,en,Into the Wild,11/09/2007,7.8,8617,8.1,625902,15000000,56255142
744,4413,tt0476964,en,The Brave One,12/09/2007,6.5,809,6.7,61604,70000000,69766619
746,13910,tt0472071,en,Death Defying Acts,13/09/2007,6.0,221,5.8,10257,20000000,8380329
747,23827,tt1179904,en,Paranormal Activity,14/09/2007,6.0,4422,6.3,242832,215000,194183034
751,4629,tt0465436,en,December Boys,20/09/2007,6.0,172,6.5,12189,4000000,46474
752,10760,tt0815244,en,Sydney White,21/09/2007,6.5,925,6.2,49181,16500000,13620075
753,10030,tt0452625,en,Good Luck Chuck,21/09/2007,5.9,1273,5.6,91470,25000000,59192128
755,3902,tt0368794,en,I'm Not There,1/10/2007,6.6,585,6.8,59425,20000000,4001121
759,17202,tt0906108,en,Why Did I Get Married?,12/10/2007,6.4,117,5.9,13283,15000000,55184721
760,6615,tt0805564,en,Lars and the Real Girl,12/10/2007,7.2,1501,7.3,147316,12000000,11293663
761,22331,tt0955411,en,The Ten Commandments,19/10/2007,5.2,17,2.9,2464,10000000,952820
762,4515,tt0891527,en,Lions for Lambs,22/10/2007,6.0,639,6.2,50771,35000000,63215872
765,5559,tt0389790,en,Bee Movie,28/10/2007,6.0,4240,6.1,165113,150000000,287594577
767,4982,tt0765429,en,American Gangster,2/11/2007,7.6,4642,7.8,429745,100000000,266465037
768,5375,tt0486583,en,Fred Claus,3/11/2007,5.8,726,5.6,45365,100000000,97838349
769,13022,tt0479528,en,Rogue,8/11/2007,6.5,536,6.2,31194,20000000,4609644
771,5876,tt0884328,en,The Mist,21/11/2007,6.9,4278,7.1,314761,18000000,57470220
772,5123,tt0426931,en,August Rush,21/11/2007,7.4,2430,7.4,108296,25000000,66122026
773,13483,tt0211933,en,Awake,28/11/2007,6.4,1146,6.5,76561,86000000,14373825
775,2312,tt0460780,en,In the Name of the King: A Dungeon Siege Tale,29/11/2007,4.7,696,3.8,49547,60000000,13100000
778,6479,tt0480249,en,I Am Legend,12/12/2007,7.2,13932,7.2,763022,150000000,585410052
781,14158,tt1117523,en,Jackass 2.5,18/12/2007,6.1,462,6.3,24577,0,0
782,7345,tt0469494,en,There Will Be Blood,26/12/2007,8.1,5491,8.2,589693,25000000,77208711
783,14047,tt0427309,en,The Great Debaters,27/12/2007,7.2,493,7.5,59810,15000000,30226144
784,68965,tt0906572,en,Blind Trust,31/12/2007,6.3,24,5.3,385,0,0
790,49957,tt1633175,en,Carts of Darkness,1/01/2008,6.8,10,7.6,616,0,0
791,44254,tt1009017,en,The Minis,1/01/2008,2.8,9,2.7,8467,0,0
795,15922,tt0821810,en,All Roads Lead Home,1/01/2008,5.9,17,5.7,874,0,0
797,13808,tt0494277,en,Strictly Sexual,1/01/2008,6.3,56,6.2,5427,0,0
798,8055,tt0976051,en,The Reader,2/01/2008,7.4,2580,7.6,247977,32000000,108902486
800,183149,tt1167319,en,A Near Death Experience,6/01/2008,5.1,15,5.2,377,0,0
802,7191,tt1060277,en,Cloverfield,15/01/2008,6.7,6184,7.0,402309,25000000,170764026
803,13090,tt0862846,en,Sunshine Cleaning,18/01/2008,6.6,647,6.8,72344,5000000,16174377
808,13490,tt0494652,en,Welcome Home Roscoe Jenkins,8/02/2008,6.1,239,5.5,15004,35000000,43650785
809,8321,tt0780536,en,In Bruges,8/02/2008,7.5,4295,7.9,431846,15000000,34533783
811,22600,tt0783532,en,Jerusalema,11/02/2008,6.7,44,7.3,10709,0,0
812,8247,tt0489099,en,Jumper,13/02/2008,6.1,5034,6.1,309389,85000000,222231186
813,8204,tt0416236,en,The Spiderwick Chronicles,14/02/2008,6.6,2283,6.5,97447,90000000,164170327
815,7840,tt0443649,en,"10,000 BC",22/02/2008,5.4,2578,5.1,132337,105000000,269784201
817,46573,tt0319115,en,Brothel,27/02/2008,4.2,5,3.7,373,0,0
818,13260,tt0839980,en,Semi-Pro,28/02/2008,5.6,662,5.8,83514,0,33472850
819,8848,tt0200465,en,The Bank Job,28/02/2008,6.8,1903,7.2,183192,20000000,64828421
823,60492,tt0879405,en,Harm's Way,18/03/2008,5.1,5,5.2,370,0,0
824,10885,tt0482599,en,Shutter,21/03/2008,5.5,601,5.2,35033,0,0
825,8065,tt0478087,en,21,27/03/2008,6.7,4073,6.8,254560,35000000,159808370
827,197320,tt1227774,en,The Double Life of Eleanor Kendall,29/03/2008,6.4,14,5.3,377,0,0
830,1266,tt0421073,en,Street Kings,10/04/2008,6.6,1223,6.8,115321,20000000,66476363
831,13335,tt0481536,en,Harold & Kumar Escape from Guantanamo Bay,25/04/2008,6.3,1244,6.5,138468,12000000,43493123
834,13191,tt0884224,en,"War, Inc.",28/04/2008,5.6,236,5.5,22149,5000000,1296184
835,14574,tt0914798,en,The Boy in the Striped Pyjamas,7/05/2008,7.8,6181,7.7,222262,12500000,20416563
836,9029,tt1033643,en,What Happens in Vegas,7/05/2008,6.1,2658,6.1,178732,35000000,219375562
837,7459,tt0811080,en,Speed Racer,7/05/2008,6.2,1293,6.0,74698,120000000,93945766
840,20033,tt1106447,en,Mulligans,18/05/2008,5.8,53,6.2,3162,0,0
842,217,tt0367882,en,Indiana Jones and the Kingdom of the Crystal Skull,21/05/2008,6.0,7031,6.2,457862,185000000,786636033
845,9502,tt0441773,en,Kung Fu Panda,4/06/2008,7.2,9880,7.6,474236,130000000,631744560
846,10661,tt0960144,en,You Don't Mess with the Zohan,5/06/2008,5.7,3207,5.6,204362,90000000,204313400
850,1724,tt0800080,en,The Incredible Hulk,12/06/2008,6.2,10389,6.6,495735,150000000,163712074
851,11665,tt0425061,en,Get Smart,19/06/2008,6.2,3109,6.5,220215,80000000,230685453
853,15912,tt1085507,en,The Square,30/06/2008,6.2,77,6.7,6067,0,728903
855,8960,tt0448157,en,Hancock,1/07/2008,6.3,8519,6.4,486391,150000000,629443428
856,1735,tt0859163,en,The Mummy: Tomb of the Dragon Emperor,1/07/2008,5.5,3887,5.2,162963,145000000,403449830
858,11631,tt0795421,en,Mamma Mia!,3/07/2008,7.0,5708,6.5,249488,52000000,609841637
859,11260,tt0765476,en,Meet Dave,8/07/2008,5.3,1220,5.1,41735,60000000,50650079
865,12689,tt0963743,en,"Angus, Thongs and Perfect Snogging",25/07/2008,6.4,718,6.3,28627,0,14924998
866,12133,tt0838283,en,Step Brothers,25/07/2008,6.6,2673,6.9,298985,65000000,128107642
871,10189,tt0910936,en,Pineapple Express,6/08/2008,6.6,3263,6.9,342716,27000000,101624843
874,13184,tt0814022,en,Bangkok Dangerous,21/08/2008,5.2,877,5.3,57172,45000000,42487390
875,10483,tt0452608,en,Death Race,22/08/2008,6.2,3268,6.4,211004,45000000,76014335
878,13805,tt1213644,en,Disaster Movie,29/08/2008,3.3,892,1.9,92083,25000000,14109284
880,13004,tt1294138,en,Barbie and the Diamond Castle,3/09/2008,7.4,706,6.4,3478,0,0
881,4944,tt0887883,en,Burn After Reading,5/09/2008,6.6,3987,7.0,335748,37000000,163720069
883,13389,tt1034331,en,Righteous Kill,11/09/2008,5.9,1054,6.0,89130,60000000,79498846
886,325800,tt1267282,en,Secrets of the Dinosaur Mummy,14/09/2008,5.9,4,7.0,51,0,0
889,14248,tt0465502,en,Igor,19/09/2008,6.0,499,5.9,23668,25000000,30700000
890,13596,tt1046163,en,My Best Friend's Girl,19/09/2008,5.7,643,5.8,44902,20000000,41624687
891,13279,tt0947802,en,Lakeview Terrace,19/09/2008,5.9,876,6.2,53390,20000000,27640028
895,13600,tt0970411,en,City of Ember,7/10/2008,6.3,1518,6.4,66982,55000000,17869048
897,14325,tt0469903,en,The Express,10/10/2008,7.2,228,7.2,22257,40000000,9793496
898,12162,tt0887912,en,The Hurt Locker,10/10/2008,7.3,4905,7.5,454589,15000000,49230772
901,8884,tt0893402,en,Franklyn,16/10/2008,6.0,289,6.0,17752,12000000,0
902,10523,tt1175491,en,W.,17/10/2008,6.2,499,6.3,48909,25100000,29506464
905,10764,tt0830515,en,Quantum of Solace,29/10/2008,6.3,6924,6.6,451857,200000000,589580482
907,10527,tt0479952,en,Madagascar: Escape 2 Africa,30/10/2008,6.5,6016,6.6,230720,150000000,603900354
909,14655,tt1111948,en,Soul Men,7/11/2008,6.2,131,6.4,11214,0,0
914,12405,tt1010048,en,Slumdog Millionaire,12/11/2008,7.7,9434,8.0,848247,15000000,378410542
917,13387,tt1129442,en,Transporter 3,26/11/2008,6.1,2923,6.0,169152,30000000,108979549
919,13056,tt0450314,en,Punisher: War Zone,5/12/2008,5.8,949,5.9,64174,20500000,10089373
921,26461,tt1324027,en,Trailer Park Boys: Say Goodnight to the Bad Guys,7/12/2008,7.4,49,7.8,3715,0,0
922,13223,tt1205489,en,Gran Torino,9/12/2008,8.0,9482,8.1,778510,33000000,269958228
923,10201,tt1068680,en,Yes Man,9/12/2008,6.6,5998,6.8,365860,70000000,223241637
926,4148,tt0959337,en,Revolutionary Road,19/12/2008,7.0,3338,7.3,215463,35000000,75981180
927,16409,tt1046947,en,Last Chance Harvey,25/12/2008,6.2,225,6.6,21795,0,32562782
928,14306,tt0822832,en,Marley & Me,25/12/2008,7.2,4124,7.0,160025,60000000,255743093
929,4922,tt0421715,en,The Curious Case of Benjamin Button,25/12/2008,7.6,11265,7.8,654763,150000000,335802786
936,16258,tt1234541,en,The Butterfly Effect 3: Revelations,9/01/2009,5.4,474,5.6,19979,0,0
937,10521,tt0901476,en,Bride Wars,9/01/2009,6.2,2711,5.4,109261,30000000,115375850
939,15189,tt0785006,en,Hotel for Dogs,16/01/2009,6.1,767,5.4,23866,35000000,117000198
940,14435,tt1179891,en,My Bloody Valentine,16/01/2009,5.5,966,5.4,57645,15000000,102836002
943,16759,tt1238291,en,Five Minutes of Heaven,19/01/2009,6.2,162,6.6,12890,0,0
947,74300,tt1320282,en,Al-mor wa al rumman,1/02/2009,5.2,10,6.3,265,980000,0
953,15159,tt0838232,en,The Pink Panther 2,6/02/2009,5.7,968,5.6,45939,0,75871032
955,24238,tt0978762,en,Mary and Max,9/02/2009,7.9,1633,8.1,178525,8240000,1740429
956,13207,tt0758746,en,Friday the 13th,11/02/2009,5.7,2182,5.5,109763,19000000,91509154
957,7980,tt0380510,en,The Lovely Bones,19/02/2009,7.0,4032,6.6,171484,65000000,93621340
961,18320,tt0962736,en,The Young Victoria,4/03/2009,7.2,902,7.2,63040,35000000,29196409
962,13183,tt0409459,en,Watchmen,4/03/2009,7.3,8026,7.6,555012,130000000,185258983
963,323390,tt1302576,en,Out of Control,11/03/2009,6.1,5,5.0,416,0,0
965,18405,tt0844708,en,The Last House on the Left,13/03/2009,6.4,1471,6.5,94656,15000000,32721635
966,16871,tt1127180,en,Drag Me to Hell,15/03/2009,6.4,3144,6.6,206358,30000000,90810892
967,16558,tt1135487,en,Duplicity,18/03/2009,5.9,659,6.1,51014,60000000,78176181
969,15512,tt0892782,en,Monsters vs Aliens,19/03/2009,6.2,4017,6.4,164821,175000000,381509870
970,16538,tt1155056,en,"I Love You, Man",20/03/2009,6.5,1425,7.0,208681,41000000,91980359
971,27391,tt1272025,en,Polar Storm,28/03/2009,4.1,50,3.7,1772,0,0
972,72642,tt1327763,en,Solitary,29/03/2009,5.8,6,5.3,458,0,0
977,16614,tt1091722,en,Adventureland,3/04/2009,6.4,1884,6.8,162363,0,17164820
980,13975,tt0910905,en,In the Electric Mist,15/04/2009,6.1,360,6.1,18911,0,0
983,16931,tt0865907,en,Into the Blue 2: The Reef,21/04/2009,5.3,121,4.7,5249,0,0
984,17336,tt1082601,en,Fighting,24/04/2009,5.9,584,5.5,33467,0,32474120
985,56811,tt1277936,en,Cropsey,25/04/2009,6.0,133,6.3,8658,0,35456
988,12556,tt0821640,en,Ghosts of Girlfriends Past,1/05/2009,6.0,2040,5.8,91044,37500000,102223269
993,17740,tt1032819,en,Powder Blue,8/05/2009,6.1,182,6.2,14916,0,17835
994,24271,tt1107860,en,The Maiden Heist,9/05/2009,5.7,269,6.0,16884,20000000,96008
995,13448,tt0808151,en,Angels & Demons,13/05/2009,6.7,6072,6.7,295924,150000000,485930816
996,17609,tt0870984,en,Antichrist,20/05/2009,6.7,2191,6.5,128522,11000000,791867
997,534,tt0438488,en,Terminator Salvation,20/05/2009,6.0,5678,6.5,364847,200000000,371353001
1007,19724,tt0780567,en,Imagine That,19/06/2009,6.0,501,5.6,15134,55000000,23000000
1009,10024,tt1078588,en,My Sister's Keeper,26/06/2009,7.4,1851,7.3,94333,30000000,95714875
1010,27480,tt1235142,en,Last Ride,2/07/2009,6.6,39,6.6,2534,0,0
1012,33788,tt0368563,en,Possession,16/07/2009,5.5,117,5.5,7853,0,0
1015,36041,tt1332100,en,The Big Gay Musical,20/07/2009,6.8,33,6.4,1770,0,0
1017,20943,tt1142988,en,The Ugly Truth,24/07/2009,6.5,3136,6.4,221362,38000000,321682600
1021,14869,tt1046173,en,G.I. Joe: The Rise of Cobra,3/08/2009,5.8,4093,5.7,209915,175000000,302469017
1022,38415,tt1148165,en,Bran Nue Dae,9/08/2009,5.7,22,6.2,1936,7000000,6812530
1023,24420,tt0452694,en,The Time Traveler's Wife,14/08/2009,6.9,2155,7.1,152588,39000000,101344412
1024,16869,tt0361748,en,Inglourious Basterds,19/08/2009,8.2,19642,8.3,1452914,70000000,321457747
1025,12244,tt0472033,en,9,19/08/2009,6.9,3081,7.0,141626,30000000,48428063
1028,19912,tt1144884,en,The Final Destination,26/08/2009,5.6,2738,5.1,108072,40000000,186167139
1034,22947,tt1193138,en,Up in the Air,5/09/2009,6.8,3139,7.4,338525,25000000,166842739
1035,22074,tt1232207,en,Capitalism: A Love Story,6/09/2009,7.1,457,7.4,42987,20000000,17436509
1037,36714,tt1282024,en,Blessed,10/09/2009,6.5,12,6.7,763,0,0
1038,22327,tt0403702,en,Youth in Revolt,11/09/2009,6.2,776,6.5,74843,18000000,0
1039,11699,tt1095217,en,Bad Lieutenant: Port of Call - New Orleans,11/09/2009,6.1,931,6.6,78166,25000000,10589102
1040,46420,tt1316536,en,The Loved Ones,13/09/2009,6.7,626,6.6,41645,0,0
1042,25310,tt1773768,en,The Strawberry Shortcake Movie: Sky's the Limit,15/09/2009,6.4,5,5.9,111,0,0
1044,22825,tt0362478,en,The Box,17/09/2009,5.6,1544,5.6,92813,30000000,33333531
1045,22794,tt0844471,en,Cloudy with a Chance of Meatballs,17/09/2009,6.6,5159,6.9,236521,100000000,242988466
1049,28665,tt1016075,en,Fame,23/09/2009,5.7,326,5.0,16589,18000000,77211836
1053,33870,tt1071812,en,Mao's Last Dancer,1/10/2009,6.7,96,7.3,8019,25000000,23914731
1055,8054,tt1054606,en,The Imaginarium of Doctor Parnassus,1/10/2009,6.4,2435,6.8,150538,30000000,64352607
1057,37707,tt1017460,en,Splice,6/10/2009,5.8,1897,5.8,98477,26000000,0
1058,43213,tt1085382,en,Chicago Overcoat,10/10/2009,5.4,20,5.9,1191,3200000,0
1059,14161,tt1190080,en,2012,10/10/2009,5.8,10862,5.8,380688,200000000,791217826
1060,34480,tt1073105,en,The Descent: Part 2,14/10/2009,5.9,910,5.7,48430,6000200,7048886
1061,22803,tt1197624,en,Law Abiding Citizen,15/10/2009,7.3,4293,7.4,300473,53000000,127944208
1064,16523,tt0386117,en,Where the Wild Things Are,16/10/2009,6.5,1593,6.7,105911,100000000,100140916
1065,20371,tt0826593,en,Pandemic,20/10/2009,4.3,15,3.3,870,0,0
1066,25602,tt1182921,en,Ninja,22/10/2009,6.0,272,5.5,13438,10000000,194243
1068,51249,tt1300155,en,Alabama Moon,25/10/2009,6.4,52,6.4,1603,0,47305
1069,46737,tt1227170,en,Passenger Side,28/10/2009,5.6,19,5.9,910,0,0
1073,25793,tt0929632,en,Precious,6/11/2009,7.4,1431,7.3,111861,10000000,47536959
1074,49676,tt1486861,en,Too Late to Say Goodbye,7/11/2009,6.0,17,5.3,714,0,0
1076,16866,tt0762125,en,Planet 51,19/11/2009,5.8,1776,6.0,56038,70000000,104945765
1077,22881,tt0878804,en,The Blind Side,20/11/2009,7.7,5440,7.6,335753,29000000,309208309
1078,20766,tt0898367,en,The Road,25/11/2009,7.0,3229,7.2,241550,32000000,27635305
1079,12404,tt1175506,en,Me and Orson Welles,25/11/2009,6.3,168,6.7,11505,25000000,2336172
1080,50105,tt1242777,en,Coopers' Camera,27/11/2009,5.5,8,6.0,625,0,0
1083,50042,tt1156067,en,The Lightkeepers,18/12/2009,6.4,16,5.5,1286,4500000,0
